               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.038615,           0.0080419,           0.0049632,             0.98506,                   1,               0.995,             0.77329,             0.02323,           0.0037584,           0.0032579,           0.0074062,           0.0074062,           0.0074062
                 133,            0.032026,           0.0072596,           0.0054123,             0.99622,                   1,               0.995,             0.76189,            0.020633,           0.0035381,           0.0032055,           0.0073864,           0.0073864,           0.0073864
                 134,            0.027544,            0.007674,           0.0055732,             0.99672,                   1,               0.995,             0.86454,            0.015937,           0.0033488,           0.0031828,           0.0073666,           0.0073666,           0.0073666
                 135,            0.027208,           0.0064804,           0.0047677,             0.99667,                   1,               0.995,             0.73827,            0.020427,           0.0034403,           0.0031772,           0.0073468,           0.0073468,           0.0073468
                 136,              0.0282,           0.0075672,           0.0043611,             0.99681,                   1,               0.995,             0.79608,             0.01858,           0.0035161,           0.0031691,            0.007327,            0.007327,            0.007327
                 137,             0.03247,           0.0072015,           0.0052224,             0.99663,                   1,               0.995,             0.71236,            0.023784,           0.0038091,           0.0031519,           0.0073072,           0.0073072,           0.0073072
                 138,             0.03473,           0.0081764,           0.0044485,             0.99637,                   1,               0.995,             0.86528,            0.017411,           0.0035371,           0.0031625,           0.0072874,           0.0072874,           0.0072874
                 139,            0.028229,           0.0076549,           0.0054104,             0.99698,                   1,               0.995,             0.80684,            0.019369,           0.0035633,           0.0031838,           0.0072676,           0.0072676,           0.0072676
                 140,            0.031037,           0.0085636,           0.0047136,              0.9974,                   1,               0.995,             0.80817,            0.015323,           0.0034506,           0.0031599,           0.0072478,           0.0072478,           0.0072478
                 141,            0.026519,            0.007786,           0.0049489,             0.99775,                   1,               0.995,             0.74042,            0.021249,           0.0034943,           0.0030956,            0.007228,            0.007228,            0.007228
                 142,            0.031697,           0.0079996,           0.0054111,             0.99756,                   1,               0.995,             0.84993,            0.018619,           0.0035259,           0.0030272,           0.0072082,           0.0072082,           0.0072082
                 143,            0.029758,           0.0086818,           0.0047543,             0.99765,                   1,               0.995,             0.77363,             0.01548,           0.0034105,           0.0029903,           0.0071884,           0.0071884,           0.0071884
                 144,            0.025669,           0.0068573,            0.004272,             0.99753,                   1,               0.995,             0.85689,            0.018402,           0.0032917,           0.0029086,           0.0071686,           0.0071686,           0.0071686
                 145,            0.026193,           0.0072494,           0.0053079,             0.99755,                   1,               0.995,             0.86652,            0.019555,           0.0034277,           0.0028486,           0.0071488,           0.0071488,           0.0071488
                 146,            0.027166,           0.0073579,           0.0051045,             0.99764,                   1,               0.995,             0.88125,            0.017331,           0.0033489,           0.0027547,            0.007129,            0.007129,            0.007129
                 147,            0.025968,           0.0064192,           0.0040271,             0.99794,                   1,               0.995,             0.81907,            0.018417,           0.0034514,           0.0027207,           0.0071092,           0.0071092,           0.0071092
                 148,            0.026065,           0.0082765,           0.0056153,             0.98954,                   1,               0.995,             0.87026,            0.023579,            0.003332,           0.0026969,           0.0070894,           0.0070894,           0.0070894
                 149,            0.032185,            0.006077,           0.0040655,             0.99746,                   1,               0.995,             0.77346,            0.021118,           0.0034166,           0.0026473,           0.0070696,           0.0070696,           0.0070696
